DATE,DFEDTAR
1994-01-01,3.0000000000000000
1994-02-01,3.2232142857142857
1994-03-01,3.3306451612903226
1994-04-01,3.6083333333333333
1994-05-01,3.9919354838709677
1994-06-01,4.2500000000000000
1994-07-01,4.2500000000000000
1994-08-01,4.5080645161290323
1994-09-01,4.7500000000000000
1994-10-01,4.7500000000000000
1994-11-01,5.1500000000000000
1994-12-01,5.5000000000000000
1995-01-01,5.5000000000000000
1995-02-01,6.0000000000000000
1995-03-01,6.0000000000000000
1995-04-01,6.0000000000000000
1995-05-01,6.0000000000000000
1995-06-01,6.0000000000000000
1995-07-01,5.7903225806451613
1995-08-01,5.7500000000000000
1995-09-01,5.7500000000000000
1995-10-01,5.7500000000000000
1995-11-01,5.7500000000000000
1995-12-01,5.6451612903225806
1996-01-01,5.4919354838709677
1996-02-01,5.2500000000000000
1996-03-01,5.2500000000000000
1996-04-01,5.2500000000000000
1996-05-01,5.2500000000000000
1996-06-01,5.2500000000000000
1996-07-01,5.2500000000000000
1996-08-01,5.2500000000000000
1996-09-01,5.2500000000000000
1996-10-01,5.2500000000000000
1996-11-01,5.2500000000000000
1996-12-01,5.2500000000000000
1997-01-01,5.2500000000000000
1997-02-01,5.2500000000000000
1997-03-01,5.3064516129032258
1997-04-01,5.5000000000000000
1997-05-01,5.5000000000000000
1997-06-01,5.5000000000000000
1997-07-01,5.5000000000000000
1997-08-01,5.5000000000000000
1997-09-01,5.5000000000000000
1997-10-01,5.5000000000000000
1997-11-01,5.5000000000000000
1997-12-01,5.5000000000000000
1998-01-01,5.5000000000000000
1998-02-01,5.5000000000000000
1998-03-01,5.5000000000000000
1998-04-01,5.5000000000000000
1998-05-01,5.5000000000000000
1998-06-01,5.5000000000000000
1998-07-01,5.5000000000000000
1998-08-01,5.5000000000000000
1998-09-01,5.4833333333333333
1998-10-01,5.1129032258064516
1998-11-01,4.8833333333333333
1998-12-01,4.7500000000000000
1999-01-01,4.7500000000000000
1999-02-01,4.7500000000000000
1999-03-01,4.7500000000000000
1999-04-01,4.7500000000000000
1999-05-01,4.7500000000000000
1999-06-01,4.7583333333333333
1999-07-01,5.0000000000000000
1999-08-01,5.0645161290322581
1999-09-01,5.2500000000000000
1999-10-01,5.2500000000000000
1999-11-01,5.3750000000000000
1999-12-01,5.5000000000000000
2000-01-01,5.5000000000000000
2000-02-01,5.7413793103448276
2000-03-01,5.8387096774193548
2000-04-01,6.0000000000000000
2000-05-01,6.2580645161290323
2000-06-01,6.5000000000000000
2000-07-01,6.5000000000000000
2000-08-01,6.5000000000000000
2000-09-01,6.5000000000000000
2000-10-01,6.5000000000000000
2000-11-01,6.5000000000000000
2000-12-01,6.5000000000000000
2001-01-01,6.0161290322580645
2001-02-01,5.5000000000000000
2001-03-01,5.3064516129032258
2001-04-01,4.7833333333333333
2001-05-01,4.2258064516129032
2001-06-01,3.9666666666666667
2001-07-01,3.7500000000000000
2001-08-01,3.6612903225806452
2001-09-01,3.2666666666666667
2001-10-01,2.5161290322580645
2001-11-01,2.0833333333333333
2001-12-01,1.8306451612903226
2002-01-01,1.7500000000000000
2002-02-01,1.7500000000000000
2002-03-01,1.7500000000000000
2002-04-01,1.7500000000000000
2002-05-01,1.7500000000000000
2002-06-01,1.7500000000000000
2002-07-01,1.7500000000000000
2002-08-01,1.7500000000000000
2002-09-01,1.7500000000000000
2002-10-01,1.7500000000000000
2002-11-01,1.3333333333333333
2002-12-01,1.2500000000000000
2003-01-01,1.2500000000000000
2003-02-01,1.2500000000000000
2003-03-01,1.2500000000000000
2003-04-01,1.2500000000000000
2003-05-01,1.2500000000000000
2003-06-01,1.2000000000000000
2003-07-01,1.00000000000000000000
2003-08-01,1.00000000000000000000
2003-09-01,1.00000000000000000000
2003-10-01,1.00000000000000000000
2003-11-01,1.00000000000000000000
2003-12-01,1.00000000000000000000
2004-01-01,1.00000000000000000000
2004-02-01,1.00000000000000000000
2004-03-01,1.00000000000000000000
2004-04-01,1.00000000000000000000
2004-05-01,1.00000000000000000000
2004-06-01,1.00833333333333333333
2004-07-01,1.2500000000000000
2004-08-01,1.4274193548387097
2004-09-01,1.5833333333333333
2004-10-01,1.7500000000000000
2004-11-01,1.9250000000000000
2004-12-01,2.1451612903225806
2005-01-01,2.2500000000000000
2005-02-01,2.4910714285714286
2005-03-01,2.5806451612903226
2005-04-01,2.7500000000000000
2005-05-01,2.9838709677419355
2005-06-01,3.0083333333333333
2005-07-01,3.2500000000000000
2005-08-01,3.4354838709677419
2005-09-01,3.5916666666666667
2005-10-01,3.7500000000000000
2005-11-01,4.0000000000000000
2005-12-01,4.1532258064516129
2006-01-01,4.2580645161290323
2006-02-01,4.5000000000000000
2006-03-01,4.5322580645161290
2006-04-01,4.7500000000000000
2006-05-01,4.9274193548387097
2006-06-01,5.0166666666666667
2006-07-01,5.2500000000000000
2006-08-01,5.2500000000000000
2006-09-01,5.2500000000000000
2006-10-01,5.2500000000000000
2006-11-01,5.2500000000000000
2006-12-01,5.2500000000000000
2007-01-01,5.2500000000000000
2007-02-01,5.2500000000000000
2007-03-01,5.2500000000000000
2007-04-01,5.2500000000000000
2007-05-01,5.2500000000000000
2007-06-01,5.2500000000000000
2007-07-01,5.2500000000000000
2007-08-01,5.2500000000000000
2007-09-01,5.0333333333333333
2007-10-01,4.7419354838709677
2007-11-01,4.5000000000000000
2007-12-01,4.3306451612903226
2008-01-01,3.9758064516129032
2008-02-01,3.0000000000000000
2008-03-01,2.6612903225806452
2008-04-01,2.2416666666666667
2008-05-01,2.0000000000000000
2008-06-01,2.0000000000000000
2008-07-01,2.0000000000000000
2008-08-01,2.0000000000000000
2008-09-01,2.0000000000000000
2008-10-01,1.5645161290322581
2008-11-01,1.00000000000000000000
